Field_1,Field_2,Field_3
S.no.,Syllabus,Time in Hrs
1,Introduction to Engineering Drawing and Drawing Instruments –,2
,•,
,Conventions,
,•,
,Sizes and layout of drawing sheets,
,•,
,"Title Block, its position and content",
,•,
,Drawing Instrument,
2,Lines - Types and applications in drawing,6
,Free hand drawing of -,
,•,
,Geometrical figures and blocks with dimension,
,•,
,Transferring measurement from the given object to the free hand sketches.,
,•,
,Free hand drawing of hand tools and measuring tools.,
3,Drawing of -,8
,•,
,"Angle, Triangle, Circle, Rectangle, Square, Parallelogram, Ellipse & Parabola.",
,•,
,Lettering & Numbering - Single Stroke.,
,•,
,Development of Surfaces,
4,Dimensioning,2
,•,
,Types of arrowhead,
,•,
,Leader line with text,
,•,
,"Position of dimensioning (Unidirectional, Aligned)",
5,Concept and reading of Drawing in,10
,•,
,Concept of axes plane and quadrant,
,•,
,Concept of Orthographic and Isometric projections,
,•,
,Method of first angle and third angle projections (definition and difference),
6,Symbolic representation -,4
,•,
,Different symbols used in the Sheet Metal trade.,
7,Reading of Job drawing related to Sheet Metal trade.,8
nan,Total,40
